Name,Full Text,Language,Concept,Text ,Relevance,Month,Year
AnishPrabhakar5,RT @jejefanai: India's most celebrated footballing venues where I have played several time.The pitch is top quality as it was revamped forâ€_,en,Location,India,0.33,Mar,2018
AnishPrabhakar5,RT @jejefanai: India's most celebrated footballing venues where I have played several time.The pitch is top quality as it was revamped forâ€_,en,TwitterHandle,@jejefanai,0.33,Mar,2018
AnishPrabhakar5,"RT @ckvineeth: The JN Stadium is one of only six in India that are FIFA approved,a certification that will take immense effort to obtain agâ€_",en,concept,Thermodynamics,0.864318,Mar,2018
AnishPrabhakar5,"RT @ckvineeth: The JN Stadium is one of only six in India that are FIFA approved,a certification that will take immense effort to obtain agâ€_",en,concept,Greek loanwords,0.711729,Mar,2018
AnishPrabhakar5,"RT @ckvineeth: The JN Stadium is one of only six in India that are FIFA approved,a certification that will take immense effort to obtain agâ€_",en,Facility,JN Stadium,0.33,Mar,2018
AnishPrabhakar5,"RT @ckvineeth: The JN Stadium is one of only six in India that are FIFA approved,a certification that will take immense effort to obtain agâ€_",en,Location,India,0.33,Mar,2018
AnishPrabhakar5,"RT @ckvineeth: The JN Stadium is one of only six in India that are FIFA approved,a certification that will take immense effort to obtain agâ€_",en,TwitterHandle,@ckvineeth,0.33,Mar,2018
AnishPrabhakar5,"RT @ShashiTharoor: Inviting all cricket fans of Thiruvananthapuram to assemble at 6.30 pm on March 24th, Saturday, at Martyrs Column, Palayâ€_",en,Location,Thiruvananthapuram,0.33,Mar,2018
AnishPrabhakar5,"RT @ShashiTharoor: Inviting all cricket fans of Thiruvananthapuram to assemble at 6.30 pm on March 24th, Saturday, at Martyrs Column, Palayâ€_",en,PrintMedia,Martyrs Column,0.33,Mar,2018
AnishPrabhakar5,"RT @ShashiTharoor: Inviting all cricket fans of Thiruvananthapuram to assemble at 6.30 pm on March 24th, Saturday, at Martyrs Column, Palayâ€_",en,TwitterHandle,@ShashiTharoor,0.33,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@DelhiDaredevils,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@mohitsharma13_,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@chetrisunil11,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@lionsdenkxip,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@ChennaiIPL,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@RCBTweets,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@KKRiders,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@mipaltan,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/hllq4nPZyO,en,TwitterHandle,@IPL,0.01,Mar,2018
AnishPrabhakar5,RT @SGanguly99: .I am with u on this sachin@sachin_rt..@bcci ..please look into this @RJohri ...KCA has super cricket grounds .. https://t.â€_,en,Company,KCA,0.33,Mar,2018
AnishPrabhakar5,RT @SGanguly99: .I am with u on this sachin@sachin_rt..@bcci ..please look into this @RJohri ...KCA has super cricket grounds .. https://t.â€_,en,TwitterHandle,@SGanguly99,0.33,Mar,2018
AnishPrabhakar5,RT @SGanguly99: .I am with u on this sachin@sachin_rt..@bcci ..please look into this @RJohri ...KCA has super cricket grounds .. https://t.â€_,en,TwitterHandle,@RJohri,0.33,Mar,2018
