date;text;
19.08.17 18:10;The only was to prevent # LoveJihadTapes is for # Hindus to educate their children about the ugly truth of # Islam https://counterjihadreport.com/2013/10/31/ali-sina-peeling-back-the-layers-of-taqiyya/ …;
19.08.17 16:19;# LoveJihadTapes- why congress leaders are tightlipped about love jihad;
19.08.17 16:17;# LoveJihad तो अम्मा इंद्रा के जमाने से ही शुरू हुआ है। तभी रोक होता तो आज राहत होती। # LoveJihadTapes में फ़िरोज़ की बाली चढ़ी थी।;
19.08.17 16:17;# LoveJihad तो अम्मा इंद्रा के जमाने से ही शुरू हुआ है। तभी रोक होता तो आज राहत होती। # LoveJihadTapes में संजय की बाली चढ़ी थी।;
19.08.17 16:08;# LoveJihad # LoveJihadTapes https://twitter.com/sipahi_007/status/898820810206572544 …;
19.08.17 15:02;@ RahulEaswar When GauMata hv become National security issue,then any other issue can be a N security issue... # LoveJihadTapes are Cookedup;
19.08.17 14:41;Yet the Females of the community actively help jihadis in grooming Hindu & christian girls in Kerala # LoveJihadTapes https://twitter.com/sureshaputra/status/898860835472261120 …;
19.08.17 13:19;# India .........High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/shishir_heg/status/896390373165023232 …;
19.08.17 13:18;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/HKupdate/status/897759847562723329 …;
19.08.17 13:17;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailed https://twitter.com/SirIrfanPathan/status/897866642759139329 …;
19.08.17 13:17;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/TarekFatah/status/897968082362273792 …;
19.08.17 13:17;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/ShefVaidya/status/898516534791884801 …;
19.08.17 13:14;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/nav_nirvana/status/898821100586508289 …;
19.08.17 13:13;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/Theo_786/status/898841155382767616 …;
19.08.17 13:12;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailed https://twitter.com/OverNationalism/status/897805387071709184 …;
19.08.17 13:11;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/republic/status/897806710277984258 …;
19.08.17 13:11;High time to eradicate # LoveJihad & # SexForNikah # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/republic/status/897799973932113922 …;
19.08.17 12:43;# LoveJihadTapes # media ??https://twitter.com/trunils/status/898081609026478080 …;
19.08.17 11:49;# LoveJihad # LoveJihadTapes @OfficeOfRG pic.twitter.com/OHlzpQGXl7;
19.08.17 11:47;ये वीडियो हर एक # हिन्दु को देखना चाहिए # LoveJihadTapes https://twitter.com/SirSunnyDeol/status/897802628985372673 …;
19.08.17 11:39;# LoveJihad # LoveJihadTapes # लवजिहाद # awareness # beware https://twitter.com/HatindersinghR/status/898804122517872640 …;
19.08.17 11:38;मलेट्रीटूरज्मलेह-लद्दाखसुकुलअंकल/पपा/ @ vikramchandraUK @ ndtvमडेटिंगमस्त. # HinduGirlsForISIS # Lovejihadtapes @ DrGPradhan @ ReallySwara;
19.08.17 11:36;# LoveJihad is real. # Hindu girls especially in # Kerala in # India need to be wary of attempts to # convert them!! # LoveJihadTapes;
19.08.17 10:55;Retweeted Republic ( @ republic): Love Jihad is real: NIA to SC # LoveJihadTapes http://www.republicworld.com/livetv ... http://fb.me/DXs4B1kc;
19.08.17 10:49;# LordKabir krishn ji ko kusne shap diya tha साधना Tv पर 7:40 Pm से # YouthCongress200k # LoveJihadTapes;
19.08.17 10:47;@ JohnDayal # AAPईसाइयोंkBन.7Th+ # HinduGirlsForIsis1केसHC # ईसाईमिसनरीद्वारा. # LoveJihadTapes @ nilakantha @ navikakumar @ sambitswaraj @ ndtvpic.twitter.com/HZYb2ZBlGZ;
19.08.17 10:44;Wud b better if u stop crying victim..n research on 'bad deeds' being done in name f Islam.Dont prove dm rit by denyin truth # Lovejihadtapes https://twitter.com/shahid_siddiqui/status/898712801828421633 …;
19.08.17 10:17;@ AzmiShabana @ SitaramYechury @OfficeOfRG @ BDUTT @ sardesairajdeep @ MaheshNBhatt When # NotInMyName 4 this ? # LoveJihadTapes # HinduHumanRightspic.twitter.com/T8snxbeYzq;
19.08.17 09:53;# LoveJihadTapes Are we feeding snakes to be biten ourselves? @ asadowaisi @ JohnDayal;
19.08.17 09:01;Read and RT if U agree, replay if you do not. Click the first post in the numbered thread. # LoveJihad ? # LoveJihadTapes # KeralaLoveJihad;
19.08.17 08:30;N @ BJP4Karnataka CM has realesed1000sOf # SFIJihadi @ BJP4Keralam # SatyaSarni # JihadiWomen # SDPI # NDA # LoveJihadTapes # HinduGirlsForIsis;
19.08.17 07:51;# LoveJihadTapes # lovejihadKarnataka # LoveJihadMangalorepic.twitter.com/AwXKP2nSWE;
19.08.17 07:28;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
19.08.17 07:28;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
19.08.17 06:55;@ ShekharGupta schooled on # LoveJihad # LoveJihadTapes # LoveJihadNailedpic.twitter.com/T6GGmn6UJV;
19.08.17 06:53;In India it is called # LoveJihad . In England its called 'Grooming' # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/mssirsa/status/898763050043416576 …;
19.08.17 06:23;Another incident of # LoveJihad # LoveJihadTapes # LoveJihadNailed @ noconversion @ hindujagrutiorg @ hindupost @ HDL_Verified @ RSSorg @ VHPsamparkpic.twitter.com/5UlY5EkFq0;
19.08.17 06:12;# LordKabir पर नारी ना परसियो, सुनो शब्द सलतंत। धर्मराय के खंभ से, अर्धमुखी लटकंत।। साधना Tv पर 7:40 Pm से # LoveJihadTapes # SexForNikahpic.twitter.com/G49LWEO9UG;
19.08.17 05:36;in the @ republic s # LoveJihadTapes all they talk about is arranged marriage Not love or jihad https://twitter.com/AdityaMenon22/status/898478575845756929 …;
18.08.17 23:16;Crap # LoveJihadTapes & # HinduGirlsForIsis of @ republic & @ TimesNow Exposed. @ iamrana @ zafarsareshwala @ zahidpatkahttps://youtu.be/MhYUx5DYAAY;
18.08.17 23:11;Both @ republic and @ TimesNow bullshit # LoveJihadTapes, # HinduGirlsForIsis exposed by @ cobrapost. Pls watch https://youtu.be/MhYUx5DYAAY;
18.08.17 22:16;संघियों के मुस्लिम दामाद @ republic @ TimesNow @ RShivshankar @ naqvimukhtar @ ShahnawazBJP @ Swamy39 @ ShainaNC # LoveJihadTapes # HinduGirlsForIsispic.twitter.com/sXmJc3TFOr;
18.08.17 21:54;# LoveJihad exposed.. https://youtu.be/opG-_sbnp4Y # LoveJihadTapes # LoveJihadNailed # LoveJihadKerala # LoveJihadK;
18.08.17 20:35;Dharma means what is R8,Dharma means r8ful action,ds what primarily tout to us & v dn't hve god 'command' us to follow hm. # LoveJihadTapes;
18.08.17 20:10;C,dr s no refrnce of 'convert to # Hindusim' ,we get identified as Hindu by region,culture,bcz we know Religion is man-made. # LoveJihadTapes;
18.08.17 19:41;Everyone knows Islam teaches beheading of kafirs # LoveJihadTapes and behead even if her parents. Girls are converted n sent to Syria&Yemen;
18.08.17 19:20;MuslimMen target young girls belonging to Hindus for conversion 2 Islam by feigning love It's happening since advent f Islam # LoveJihadTapes;
18.08.17 19:20;Incidents of Love Jihad are rampant across the country.I'm fighting against this malaise in the courts: Naveen Chomal,lawyer # LoveJihadTapes;
18.08.17 19:19;This is an act of criminality that must be probed thoroughly. How can someone forcibly convert someone?: Saira Shah Halim # LoveJihadTapes;
18.08.17 19:16;# LoveJihadTapes कबीर तिल भर मछली खाय के कोटी गऊ दे दान। काशी करोंत ले मरे, तो भी नरक निदान।। # LordKabir देखे वृंदा… https://twitter.com/i/web/status/897868663763554309 …;
18.08.17 19:04;# LordKabir Jo jo sharan Kabir ke, targaye anant apaar l देखें ईश्वर Tv पर 08:30 PM से # Kaala # LoveJihadTapes https://twitter.com/vickybony88/status/897887096077041664/photo/1pic.twitter.com/U6pkp3PexR pic.twitter.com/thqmoqimMB;
18.08.17 18:43;# KeralaLoveJihad # LoveJihadTapes;
18.08.17 18:27;@ ShekharGupta को @ shakkuiyer का करारा और सटीक जवाब। # LoveJihadTapes pic.twitter.com/kdmG0hQFDi;
18.08.17 18:23;pl do come out of ur cave and see the sordid reality before tweeting.This is real life. Not a movie. # LoveJihadTapes @ republic;
