username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
;19.11.17 17:13;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932278111705505792 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932280659220951041;
;19.11.17 17:13;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932278917955600384 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932280632452902919;
;19.11.17 17:13;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932279531125161984 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932280597627617281;
;19.11.17 12:06;0;0;Stalking your kids phones is not healthy parenting. What nonsense is the government and education ministry trying to play among self aware secular minded people. # lovejihadfight Talk to your kids, be kind and they'll respect you. No teen respects if their privacy is violated.;;;#;9,32E+17;https://twitter.com/novazed/status/932203316183932928;
;19.11.17 09:28;4;5;This book shd reach to each Hindu Girl & their parents too. V need more efforts to tackle d Social Evil # LoveJihad lets unite against it & eliminate it 2 save society. # lovejihadfight जयपुर: बच्चों में बांटी लव जिहाद से बचाने वाली किताब! via @ aajtak https://aajtak.intoday.in/education/story/rajasthan-government-asked-students-to-visit-spiritual-fair-where-love-jehad-books-distributed-tedu-1-965823.html …;;@;# #;9,32E+17;https://twitter.com/eddiejain_/status/932163743588294656;
;19.11.17 08:25;0;0;# AlauddinKhilji MUJRIM YA NEK https://www.facebook.com/amohammad775/videos/188533081694267/ … # lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicode;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;# #;9,32E+17;https://twitter.com/AnasIly36972260/status/932147914704502784;
;19.11.17 08:15;0;2;# Rajasthan # jaipur # lovejihadfight जयपुर में जारी हिन्दू स्प्रिचवल मेले में विवादित पेंपलेट बांटे जाने पर हंगामा, सरकार के जवाब का इंतजार pic.twitter.com/nRC1q8jvsJ;;;# # #;9,32E+17;https://twitter.com/ashwani_vijay_p/status/932145265749798914;
;19.11.17 08:13;1;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/LHbN57flH9;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144777063120896;
;19.11.17 08:13;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/f1JsC0HDxD;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144711111815174;
;19.11.17 08:12;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/Y1H7cgvmoN;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144634964275200;
;19.11.17 08:12;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/25pEgHA7w7;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144570451738624;
;19.11.17 08:12;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/FppZbJ2qyi;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144506173931520;
;19.11.17 08:12;0;0;LOVE JIHAD OR LOVE FOR PEACE SECURITY PROSPERITY 3 # lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodepic.twitter.com/dmh6iOO1ya;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932144482505539584;
;19.11.17 08:12;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/ZyrtNxDncn;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144431687335936;
;19.11.17 08:12;0;0;LOVE JIHAD OR LOVE FOR PEACE SECURITY PROSPERITY 2 # lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodepic.twitter.com/PwNAJyl2FM;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932144424535994368;
;19.11.17 08:11;0;0;LOVE JIHAD OR LOVE FOR PEACE SECURITY PROSPERITY 1 # lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodepic.twitter.com/2cF0nrsXIN;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932144363508965376;
;19.11.17 08:11;0;0;ये देखिए लव जेहाद की घिनौनी हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/jSHRzeyoJA;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144311013015552;
;19.11.17 08:10;0;0;ये देखिए लव जेहाद की हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/hmPF6rIGFP;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144092271714304;
;19.11.17 08:10;1;0;ये देखिए लव जेहाद की हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/UY4aTsO88y;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932144011640369152;
;19.11.17 08:10;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932143677094240258 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932143985379778560;
;19.11.17 08:09;1;0;ये देखिए लव जेहाद की हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/8wWOPPEUyt;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932143787182133248;
;19.11.17 08:02;1;2;ये देखिए लव जेहाद की हकीकत ओर ये हकीकत समस्त हिन्दू समाज व अपने परिवार की बहन,बेटीयों को बताएँ व लव जेहाद से अपनी बहन,बेटीयों को बचाए ।। # stand_against # lovejihadfight pic.twitter.com/FRKRzzCQ8w;;;# #;9,32E+17;https://twitter.com/SandepsK/status/932141939901657088;
;19.11.17 06:29;0;2;यह आकड़े अत्यंत ख़तरनाक है इन से सीख लेने कि समस्त धर्मावलंबीयो को आवश्यकता है # lovejihadfight;;;#;9,32E+17;https://twitter.com/theabrocks/status/932118608435490816;
;18.11.17 19:25;0;0;# lovejihadfight Another love jihad? Mumbai model alleges husband forcing her to convert to Islam http://m.indiatoday.in/story/love-jihad-mumbai-model-alleges-husband-forcing-her-to-convert-to-islam/1/1092153.html … via @ indiatoday;;@;#;9,32E+17;https://twitter.com/RaviShukla03/status/931951601488744449;
;18.11.17 14:59;0;0;“Since your mom is not Muslim she is ‘Saitan’.” http://www.financialexpress.com/india-news/what-love-jihad-in-mumbai-former-model-rashmi-shahbazker-makes-shocking-allegations-against-her-muslim-husband/938128/ … # LoveJihad, thanks to the lady for # lovejihadfight;;;# #;9,32E+17;https://twitter.com/anirvanas/status/931884513277353990;
;18.11.17 10:44;0;0;मुंबईतल्या मॉडेलवर पतीकडून मुस्लिम होण्यासाठी दबाव # lovejihadfight पाहा सविस्तर बातमी https://www.youtube.com/watch?v=C36glwzs8aU …;;;#;9,32E+17;https://twitter.com/TV9Marathi/status/931820417982939137;
;18.11.17 09:01;18;22;# LoveJihad should be punished under the provisions of # Rape / # NSA # lovejihadfight http://www.india.com/news/india/love-jihad-former-model-alleges-forceful-conversion-says-husband-tortures-her-for-not-following-islam-2646269/ …;;;# # # #;9,32E+17;https://twitter.com/vinod_bansal/status/931794488250351616;
;18.11.17 08:58;0;1;मुंबई में लव जिहाद: मॉडल के साथ पति करता है पिटाई, जबरन धर्म बदलवाने का भी आरोप # Mumbai # LoveJihad # lovejihadfight http://www.mhone.in/mumbai-model-accuses-husband-of-torturing-her-for-not-converting-to-islam/ …pic.twitter.com/o541GOm2am;;;# # #;9,32E+17;https://twitter.com/mhonenews/status/931793797050073089;
;18.11.17 08:12;0;0;It happens everywhere, not just with poor and young! # lovejihadfight is a must to tacle # LoveJihadhttps://twitter.com/hindujagrutiorg/status/931759140182966272 …;;;# #;9,32E+17;https://twitter.com/vishalparkar/status/931782178555404290;
;18.11.17 08:04;1;1;# LoveJihad # lovejihadfight # lovejihadkajaalhttps://twitter.com/IndiaToday/status/931757170600812545 …;;;# # #;9,32E+17;https://twitter.com/HinduCapitalist/status/931780134318645248;
;18.11.17 07:40;14;14;मॉडल ने पति पर लगाया लव जिहाद का आरोप, कहा- 'धर्म बदलने पर कर रहा मजबूर' http://www.amarujala.com/entertainment/bollywood/former-model-alleges-her-muslim-husband-forced-her-to-follow-his-religion … # lovejihadfight;;;#;9,32E+17;https://twitter.com/AmarUjalaNews/status/931774023913975808;
;18.11.17 07:29;0;2;Love jihad: Mumbai model accuses husband of torturing her for not converting to Islam # lovejihadfight # Newsitisation https://goo.gl/r6NZyH pic.twitter.com/hiNwZfR4Li;;;# #;9,32E+17;https://twitter.com/newsitisation/status/931771322941652993;
;18.11.17 07:16;0;2;This women is the well known example or victim of LOVE JIHAD for young Hindu Girls. Her muslim husbund embarrassing him for to accept islam !! # lovejihadfight # lovejihadinkerala # lovejihadBYislamhttps://twitter.com/vsurywanshi87/status/931765652917960704 …;;;# # #;9,32E+17;https://twitter.com/Rohanagrawl/status/931768098692120576;
;18.11.17 06:54;2;1;देखिये लव जिहाद की सचाई # lovejihadfight # GujaratElections https://www.bhaskar.com/maharashtra/news/MH-PUN-HMU-ex-model-accused-his-husband-for-love-jihad-at-mumbai-5748922-NOR.html?ref=ht …;;;# #;9,32E+17;https://twitter.com/babasehgul/status/931762535325360129;
;18.11.17 06:49;0;0;मॉडल ने पति पर जबरन धर्म परिवर्तन का लगाया आरोप, कहा- प्रेग्नेंट होने के बावजूद भी पीटा http://www.haribhoomi.com/news/love-jihad-mumbai-former-model-alleges-that-her-muslim-husband-force-to-change-religion …... # Mumbai # LoveJihad # lovejihadfight # CrimeNews # modelpic.twitter.com/YfChPDUMHR;;;# # # # #;9,32E+17;https://twitter.com/HaribhoomiNews/status/931761182171545600;
;17.11.17 19:26;0;1;hindumuslim beef ayodhyamandir BabriMasjid bharatmatakijai bandematram lovejihadfight intolerante opreationromeo But where is employment????;;;;9,32E+17;https://twitter.com/Pramodraj23/status/931589300436660224;
;15.11.17 19:42;3;1;only way to stop this is by mass awareness..hindu parents need to recognize love jihad,population jihad... # lovejihadfight;;;#;9,31E+17;https://twitter.com/seeker_21/status/930868624562143232;
;13.11.17 17:39;0;0;# India # HindiNews # Hindi # LoveJihad # lovejihadfight # lovejihadkajaal reat it at http://www.vidarbhachandika.com pic.twitter.com/h4ml2hKTxl;;;# # # # # #;9,30E+17;https://twitter.com/VidarbhaC/status/930112975163330566;
;13.11.17 05:59;3;2;क्या केरल में लव जिहाद के तार आईएस से जुड़े हुए हैं? # ISIS # LoveJihad # lovejihadfight # AajKaAgenda;;;# # # #;9,30E+17;https://twitter.com/Zee_Hindustan/status/929936719876468737;
;12.11.17 04:09;0;1;तू दुर्गा बन, तू काली बन, तू हिंदू शेरनी बन, या चाहे झाँसी की रानी बन, जो भी चाहे बन बस बुरखेवा ली बनकर, लव जिहाद की शिकार मत बन # lovejihadfight # LoveJihadInKerala # lovejihadkajaal;;;# # #;9,30E+17;https://twitter.com/pk4323/status/929546760371892224;
;11.11.17 09:46;0;0;# LoveJihad # lovejihadfight # lovejihadinkerala # lovejihad # girls # Indians # SeculariumOfCongress # RadicalIslam # womensafety # hindumassmurderpic.twitter.com/21HoOYwvSM;;;# # # # # # # # # #;9,29E+17;https://twitter.com/Hare_Krishna_rg/status/929269148378472448;
;11.11.17 00:18;0;1;This says a story. Is RSS workers in kannur is so pious and gentle form of mankind? http://m.indiatoday.in/lite/story/explosion-rashtriya-swayamsevak-sangh-worker-kannur-koothuparamba/1/1086364.html … # RSSTerror # Demonetization # lovejihadinkerala # lovejihadfight # RSSFeed # BJPMoneyLaunderingDay;;;# # # # # #;9,29E+17;https://twitter.com/anukrishnasau/status/929126229097058304;
;10.11.17 14:01;1;1;one more # lovejihadfight https://twitter.com/ANI/status/928963974552477697 …;;;#;9,29E+17;https://twitter.com/rajattwittes/status/928970798185947136;
;10.11.17 10:50;2;2;It is sad to see that government is more concerned in removing poor then poverty. , # FridayFeeling They are more concerned with fake topics like # TipuJayanti # lovejihadfight # hinduMuslimpic.twitter.com/0ayGt5OLAT;;;# # # #;9,29E+17;https://twitter.com/Desi_White007/status/928922782112428032;
